ticker,AAPL,CAT,CVX,GLD,GS,JNJ,JPM,KO,MSFT,NVDA,PFE,TLT,WMT,XOM
AAPL,1.0,0.330922527245252,0.24697449388907275,-0.007309851447215407,0.3864936069085575,0.2521430751004822,0.341255250862612,0.26142181551689947,0.6001266970631408,0.46161773196690115,0.2235294947115171,-0.10458052716171354,0.22349764136800476,0.2527232870272991
CAT,0.330922527245252,1.0,0.51802410681362,0.002302824302256444,0.5717601143923248,0.24877817291538568,0.5582470628957948,0.24337449973128433,0.32814727860242554,0.2915359381427032,0.260028706567514,-0.2856839329417044,0.18290488905009264,0.5060852461215936
CVX,0.24697449388907275,0.51802410681362,1.0,0.046898894077214766,0.4724110907878459,0.2766585480432727,0.4928991858607107,0.27537620123386536,0.2410469177483628,0.19643363051995505,0.2535735381731613,-0.2300197382108285,0.1854592862228589,0.7912941678527681
GLD,-0.007309851447215407,0.002302824302256444,0.046898894077214766,1.0,-0.09934815538217696,0.005897322317284373,-0.13878114742688635,0.067675726287249,-0.004437003498695321,-0.03559120378879804,-0.011847553400533891,0.3218112308124938,0.03372240406507232,0.034474665044682176
GS,0.3864936069085575,0.5717601143923248,0.4724110907878459,-0.09934815538217696,1.0,0.3143417338355805,0.793014969623996,0.2725677811362011,0.40359834250939475,0.337623021049549,0.30333822360685125,-0.32062335516690266,0.2165447548167285,0.45939717762318943
JNJ,0.2521430751004822,0.24877817291538568,0.2766585480432727,0.005897322317284373,0.3143417338355805,1.0,0.34035414268440345,0.4293593568998248,0.28374443702122193,0.12268027132862426,0.46910742093109975,-0.09157754965394758,0.28556569253640235,0.27694099262755956
JPM,0.341255250862612,0.5582470628957948,0.4928991858607107,-0.13878114742688635,0.793014969623996,0.34035414268440345,1.0,0.30340106789542926,0.3591974377176444,0.28575176957441845,0.3322673971657651,-0.3845621580455822,0.21463286582301797,0.4795002189480893
KO,0.26142181551689947,0.24337449973128433,0.27537620123386536,0.067675726287249,0.2725677811362011,0.4293593568998248,0.30340106789542926,1.0,0.317089630689939,0.13666866443183195,0.31839026018829497,-0.014563122261188177,0.3320060713371531,0.28861509661736917
MSFT,0.6001266970631408,0.32814727860242554,0.2410469177483628,-0.004437003498695321,0.40359834250939475,0.28374443702122193,0.3591974377176444,0.317089630689939,1.0,0.5404867591911322,0.25861917209564106,-0.09917633103291516,0.2365127012817749,0.22372194009454044
NVDA,0.46161773196690115,0.2915359381427032,0.19643363051995505,-0.03559120378879804,0.337623021049549,0.12268027132862426,0.28575176957441845,0.13666866443183195,0.5404867591911322,1.0,0.13078839777024148,-0.08827349079308476,0.15354035125185136,0.17468925855519182
PFE,0.2235294947115171,0.260028706567514,0.2535735381731613,-0.011847553400533891,0.30333822360685125,0.46910742093109975,0.3322673971657651,0.31839026018829497,0.25861917209564106,0.13078839777024148,1.0,-0.0818678233218846,0.23053992650563784,0.26253381768695705
TLT,-0.10458052716171354,-0.2856839329417044,-0.2300197382108285,0.3218112308124938,-0.32062335516690266,-0.09157754965394758,-0.3845621580455822,-0.014563122261188177,-0.09917633103291516,-0.08827349079308476,-0.0818678233218846,1.0,-0.06610238907727824,-0.24724049241353022
WMT,0.22349764136800476,0.18290488905009264,0.1854592862228589,0.03372240406507232,0.2165447548167285,0.28556569253640235,0.21463286582301797,0.3320060713371531,0.2365127012817749,0.15354035125185136,0.23053992650563784,-0.06610238907727824,1.0,0.18674457765865946
XOM,0.2527232870272991,0.5060852461215936,0.7912941678527681,0.034474665044682176,0.45939717762318943,0.27694099262755956,0.4795002189480893,0.28861509661736917,0.22372194009454044,0.17468925855519182,0.26253381768695705,-0.24724049241353022,0.18674457765865946,1.0
